type,clientName,clientNameEn,code,description,exchange,full_name,name,securityName,stockNo,createdAt,updatedAt,marketCapPrev,sharesOutstanding,sort,symbol_ref,lastDateSyncIDS
w,,,CVIC2301,,HOSE,CVIC2301,CVIC2301,Chung quyen.VIC.KIS.M.CA.,hose:4693,2023-06-14T00:50:00.235Z,2023-06-14T00:50:00.235Z,,,,,
s,Công ty Cổ phần Đầu tư và Phát triển dự án hạ tầng Thái Bình Dương,Pacific Infrastructure Project Development And Investment Corporation,PPI,,UPCOM,PPI,PPI,,upcom:78339,2022-05-05T06:56:56.329Z,2023-10-04T01:30:23.156Z,24145314500.0,48290629.0,,,
s,Công ty Cổ phần Đầu tư và Xây dựng số 4,Investment and Construction Joint Stock Company No.4,CC4,,UPCOM,CC4,CC4,,upcom:76325,2022-05-05T06:56:56.265Z,2023-10-04T01:30:24.898Z,896000000000.0,64000000.0,,,
s,Công ty Cổ phần Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,VCC Engineering Consultants Joint - Stock Company,CCV,,UPCOM,CCV,CCV,,upcom:75505,2022-05-05T06:56:56.256Z,2023-10-04T01:30:25.115Z,61200000000.0,1800000.0,,,
s,Công ty Cổ phần Vận tải thủy - Vinacomin,Vinacomin - Waterway Transport Joint Stock Company,WTC,,UPCOM,WTC,WTC,,upcom:55304,2022-05-05T06:56:56.256Z,2023-10-04T01:30:26.161Z,133000000000.0,10000000.0,,,
s,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - Công ty Cổ phần,Ha Tinh Minerals & Trading Joint Stock Corporation,MTA,,UPCOM,MTA,MTA,,upcom:73823,2022-05-05T06:56:56.273Z,2023-10-04T01:30:26.319Z,462477082200.0,110113591.0,,,
s,Công ty Cổ phần Thành An 77,Thanh An 77 Joint Stock Company,X77,,UPCOM,X77,X77,,upcom:75621,2022-05-05T06:56:56.308Z,2023-10-04T01:30:26.414Z,402263100.0,1340877.0,,,
s,Công ty Cổ phần Xây dựng số 15,Vinaconex 15 Joint Stock Company,V15,,UPCOM,V15,V15,,upcom:8085,2022-05-05T06:56:56.319Z,2023-10-04T01:30:26.603Z,5000000000.0,10000000.0,,,
s,Công ty Cổ phần Vận tải Dầu khí Đông Dương,Indochina Petroleum Transportation Joint Stock Company,PTT,,UPCOM,PTT,PTT,,upcom:55164,2022-05-05T06:56:56.327Z,2023-10-04T01:30:26.694Z,98000000000.0,10000000.0,,,
s,Công ty Cổ phần Công trình Cầu phà Thành phố Hồ Chí Minh,Ho Chi Minh City Ferry Bridge Construction Joint Stock Company,HFB,,UPCOM,HFB,HFB,,upcom:75839,2022-05-05T06:56:56.332Z,2023-10-04T01:30:26.740Z,73710000000.0,9100000.0,,,
